date,agriculture_forestry_fishing,mining,manufacturing,electricity_gas_water,construction,wholesale_trade,retail_trade,accommodation_cafes_restaurants,transport,communication,finance_and_business,property_and_business,education,health_and_community,cultural_and_recreational,personal_and_other,other
May-07,333.9,132.8,1031.1,106.5,927,404.1,1169.7,698.4,539.6,250.6,407.6,206.6,773.6,1075.9,188.9,433,10412
Aug-07,354,137.6,1025.4,98.9,914.7,378.2,1195.2,706.5,536.3,230.7,396.4,200,768.2,1062.5,197.4,439.4,10406.4
Nov-07,342.9,137.1,1038.8,109.6,953.6,371.9,1240.9,679.2,553.4,234.2,400.5,193.3,785.7,1084.7,199.5,481.9,10535.1
Feb-08,323,137.9,1068.9,113.8,993,408.6,1221.8,693.9,536,226,404.4,198.3,767.6,1101.5,189.1,463.3,10622.9
May-08,352.4,163.7,1062.2,124.4,973.2,397.9,1223.9,707.8,566.6,222.3,406.9,199.4,821.6,1101.1,176.7,445.6,10690.3
Aug-08,347.4,171.4,1035.8,118.3,982.3,415,1202.1,712.5,566.4,220,410.3,207.6,825.4,1088.5,187.4,455.7,10710.4
Nov-08,356.1,180.8,1012.3,129.7,997.3,394.1,1205.5,703.2,599.4,223,390.2,207.2,790.9,1111.2,193.8,452,10757.3
Feb-09,358.1,167.7,1015,151,994.7,394.6,1220.7,700.6,592.2,225.8,400.4,175.9,766.9,1159.5,214.1,450.1,10776.7
May-09,338.1,154.2,991.3,135.4,987.7,401.3,1205.1,721.2,597.8,223.3,394.9,181.6,811.7,1192,204.6,443.9,10786.8
Aug-09,349.6,164.3,1005.9,124.3,970,406.6,1151.8,741.7,571.6,207.9,392.1,189.8,819.7,1215.4,191.3,431.9,10707.3
Nov-09,348.1,165.5,980.8,121.2,982.7,426.4,1192.2,736.7,568.6,212.1,396,183.1,837.1,1176.6,192.9,438.1,10829.2
Feb-10,347,176.5,996.6,133.5,989.4,430.9,1173,723.3,555.2,207.7,419.4,163.7,792.8,1192.7,199.1,459.4,10889.2
May-10,358.9,179.2,965.1,140.1,1001.9,404.6,1172.7,753.9,590.2,219.7,388.1,195.6,832.1,1210.9,194.8,457,10957.4
Aug-10,359.6,194.7,977.6,145.1,974.2,410.7,1172.1,718,562.7,206.5,392,200.9,872.9,1252.3,182.5,442.2,10973.8
Nov-10,354.8,198.9,975.3,145.2,1029.1,399,1213.3,751.7,577.1,211.4,375,206.9,861.3,1273.8,185,463.1,11144.5
Feb-11,315.3,203.5,976.3,150.9,998.6,419.7,1212.6,777.2,589.4,212.4,406.2,197,793.8,1276.4,208.5,440.8,11146.2
May-11,319.6,214.1,952.6,150.3,1030.4,392.2,1202.4,777.4,574,214.6,426.8,202.3,870.4,1266.9,217.4,444.5,11196.2
Aug-11,300.7,221.6,924.3,137.7,1007.9,400.3,1192.1,762.6,576.5,201.1,425.9,190.9,850.1,1303,204.4,440.6,11130.6
Nov-11,325.2,240.3,935.9,153.3,1018.6,435.5,1192.6,751,574.9,198.6,413.2,190.7,857.5,1336,201.9,443.2,11240.3
